character_chosen,card_name,n_offered,pick_rate,win_rate_lift,floors_gained_lift
DEFECT,Discovery+1,2054,0.3661148977604674,-0.018249338170408858,-0.5209722358401141
WATCHER,Mind Blast,10076,0.22995236204843192,-0.07237244030808776,0.12510561057555947
DEFECT,Jack Of All Trades+1,2016,0.3263888888888889,0.011813367593143886,-0.28826810390749813
IRONCLAD,Consecrate,2300,0.3560869565217391,-0.13290857990385335,1.9002827017681856
IRONCLAD,Cleave,1816365,0.303864036138111,-0.07731964116184017,2.792439372832227
THE_SILENT,Heel Hook,540153,0.16677311798694075,-0.04494275961544081,0.3855862388251694
WATCHER,CarveReality+1,65213,0.28544922024749664,-0.13196384384035,1.2250433546301238
WATCHER,Evaluate+1,185692,0.31675570299205136,-0.07804876447809195,1.175705877645754
DEFECT,Secret Weapon,13177,0.17606435455718297,0.12514582201852928,-5.492186194827427
THE_SILENT,Secret Technique,15413,0.2786608706935704,0.1545456810956485,-6.948493345069014
IRONCLAD,Streamline,2267,0.24437582708425232,-0.1303295461969522,0.6184054406629276
IRONCLAD,Thinking Ahead+1,1556,0.3258354755784062,0.011687659704085585,-0.25212327698211645
THE_SILENT,Accuracy+1,83270,0.39150954725591447,-0.027609781152715784,0.46546320262191543
WATCHER,SashWhip,896463,0.12667003546158626,-0.060575823759460815,2.135823507114221
WATCHER,CrushJoints+1,186243,0.20041558608914162,-0.07010455762803769,1.5163236214291054
WATCHER,Collect+1,65033,0.21030861255055125,-0.06784495951836356,0.5027553388215988
WATCHER,SpiritShield+1,12247,0.3310198415938597,0.019704121300078647,-0.7644995899672757
WATCHER,Purity,12531,0.17724044369962494,0.1366822994159882,-3.00433102415834
THE_SILENT,A Thousand Cuts+1,18681,0.5454204807023179,-0.040208766050334466,0.3014494726078425
THE_SILENT,Concentrate,383814,0.09271417926391429,0.0011321587197093697,-2.429935029812846
WATCHER,SpiritShield,171341,0.2660542427089838,-0.0002420259010210979,-0.5367075197662388
DEFECT,Lockon+1,83113,0.33652978475088136,-0.08076480981735329,0.08561561307649157
DEFECT,Tempest+1,85179,0.3638572887683584,-0.0510470174034926,0.508532534536009
THE_SILENT,Choke,540334,0.1684883794097725,-0.05629928186766721,0.17413542403918214
THE_SILENT,Reflex+1,102886,0.18140466146997647,0.036089892211573216,-0.11202374568556728
IRONCLAD,Dropkick+1,121936,0.2791218344049337,-0.05764394682656021,0.9801927361264582
IRONCLAD,Intimidate+1,120697,0.3398427467128429,-0.04762534048629791,0.629531066175959
IRONCLAD,Whirlwind+1,120891,0.3713179641164355,-0.051861425722900534,2.1180813324604593
IRONCLAD,Armaments+1,344502,0.37245937614295416,-0.1221954963367084,0.9806632094285668
WATCHER,MasterReality,233275,0.26337584396099023,-0.05479998704048486,-1.2887728867062478
WATCHER,PathToVictory+1,185345,0.23238285359734548,-0.16628548138180696,-0.6110135233652247
IRONCLAD,Crescendo,2330,0.2351931330472103,-0.003639394758616188,1.1257198915349775
IRONCLAD,Stack,2439,0.23329233292332924,-0.04525060383635798,-1.6041455598056444
WATCHER,ClearTheMind+1,186483,0.3336979778317595,-0.06942065953219673,1.161671727816021
WATCHER,Violence,9667,0.3165408089376228,0.10250066526787294,-3.8387033063565976
DEFECT,Defragment,442128,0.7574435457605038,0.026264852830604923,1.8618692787701008
THE_SILENT,Grand Finale+1,12605,0.12748909163030545,-0.049299397423958835,-0.09875829660945357
DEFECT,Aggregate,434980,0.09385948779254219,-0.03169673133504869,-2.212686293960658
DEFECT,Conserve Battery,1379589,0.3927075382595831,-0.05180291446640628,1.8939430449428336
IRONCLAD,Combust,635171,0.15365311073710858,-0.07458227723982755,0.9437642547070588
THE_SILENT,Tools of the Trade,307405,0.27113091849514487,0.008039252111350953,0.3766472316481888
WATCHER,Collect,312535,0.15322123922120723,-0.061323955911728845,-1.032285324741757
DEFECT,Melter,437301,0.3464547302658809,-0.07525352220404531,1.7820564202899227
IRONCLAD,Rampage+1,121569,0.309996791945315,-0.16626333500283713,0.3462063424050754
THE_SILENT,Flying Knee,1463109,0.23100329503816872,-0.07898332123738615,1.9072813029248827
THE_SILENT,Dagger Spray,1464941,0.26874938990717034,-0.08433309649983053,2.0812306669833625
IRONCLAD,Evolve,544119,0.1973832929928931,-0.024717769314379967,-0.6249550461356073
WATCHER,MasterReality+1,14519,0.37550795509332596,-0.06999937531967326,-0.3971527564302626
THE_SILENT,Dark Shackles,16746,0.39525856921055774,0.037141581862006834,-1.3992979297384611
DEFECT,Seek+1,22333,0.5154703801549276,0.09146289108269451,0.36306553050817314
THE_SILENT,Magnetism,14691,0.23926213327887821,-0.02061423024953901,-3.723198410330612
