character_chosen,card_name,n,odds_ratio,odds_ratio_ci_low,odds_ratio_ci_high,was_picked_pvalue,was_picked_qvalue,pseudo_r2,auc
THE_SILENT,Static Discharge,447,0.3874337084045677,0.18546499280658252,0.8093434568789851,0.011644002668744002,0.03064138616976354,0.28127532378014464,0.8411586365126188
THE_SILENT,CarveReality+1,227,0.3868526090423063,0.19350028384236725,0.7734094139353003,0.007211521831296756,0.02017227958099508,0.2405909980679498,0.8162030488763163
THE_SILENT,SpiritShield,216,0.38163918263301533,0.172066062683229,0.8464682892694106,0.017784566775173597,0.044182911417964835,0.11724704570851463,0.7319078947368421
THE_SILENT,Swivel+1,248,0.3772236137044742,0.18534055123633966,0.7677632001580132,0.0071701806426498664,0.02017227958099508,0.3450143802907528,0.867508297000065
THE_SILENT,BattleHymn+1,269,0.3711068923412347,0.20288454148606244,0.678811330495723,0.0012935284330693661,0.0042186881789237326,0.22235462654360127,0.8021496815286624
THE_SILENT,DeceiveReality+1,219,0.3683601026652473,0.18970113229897492,0.7152786258634511,0.003181586464281041,0.009653420132743432,0.2572304172642421,0.8230140186915889
THE_SILENT,Melter,463,0.3677921247538121,0.21521715408451952,0.6285328305094138,0.0002537926913113913,0.0009091509151654839,0.26306735574406326,0.8276470315183586
THE_SILENT,Clash,1511,0.35257230777920984,0.19459549573233773,0.6387980962505938,0.0005862253619525238,0.0020030869675331624,0.27271109831481455,0.8420186385550507
THE_SILENT,Aggregate,490,0.3447661625800663,0.1693898517274664,0.7017168127133502,0.0033151677477989846,0.010031318212345429,0.31299924924050704,0.8609065515490095
THE_SILENT,WindmillStrike,470,0.32025059049334076,0.1541529457708906,0.6653161261268639,0.0022709421584810488,0.007123958381336736,0.29883871211335766,0.8624391750984784
THE_SILENT,Self Repair+1,256,0.31797440406218885,0.16670740113714405,0.6064980975591272,0.0005056232083631688,0.0017464838970055955,0.25864100758985,0.8231036479444123
THE_SILENT,Cleave,1500,0.31323976701595585,0.19334911233329735,0.5074714357678117,2.411053953288509e-06,1.0180514886414027e-05,0.2645527337333491,0.8413158192569957
THE_SILENT,Electrodynamics,449,0.2922748683525145,0.13302948258333375,0.6421478683641957,0.0021921016284838254,0.006886361692874932,0.22430754476204084,0.8184903210576016
THE_SILENT,Worship+1,262,0.26632567296513143,0.12531100816440482,0.5660266014879765,0.0005828189167277768,0.0019945158922224844,0.17638619277480205,0.7720238095238096
THE_SILENT,Perfected Strike,1536,0.2638472751647707,0.11566326307179724,0.601879825650958,0.0015425076700851122,0.004965086282984107,0.252206636502989,0.8294503266501464
THE_SILENT,Spot Weakness+1,219,0.2508732743584413,0.1171316634047351,0.5373218304759556,0.0003731212768916429,0.0013174918219019695,0.3638966839646517,0.8728451954258406
THE_SILENT,Judgement,455,0.24048848854564261,0.14311955734934514,0.40410069870323206,7.374390247997545e-08,3.3154900285025396e-07,0.1376447080913894,0.7571541501976284
WATCHER,Wraith Form v2,335,2.7899772382429515,1.5724545206587002,4.950205482987873,0.0004529217884449893,0.0015767073544456444,0.16228438365298936,0.7706827961354226
WATCHER,Second Wind,333,2.6331642863680864,1.259914418799707,5.503194546824696,0.010044930329578651,0.02727358222737675,0.2350624074120654,0.8069194478420408
WATCHER,Meteor Strike,280,2.3993575676832433,1.2676377009621893,4.541452761486275,0.007178192389170492,0.02017227958099508,0.15141673396767374,0.7694051979766265
WATCHER,Scrawl,235544,2.0542866716828034,2.011283261776829,2.0982095409701023,0.0,0.0,0.10229617827565862,0.719424372677874
WATCHER,Vault,236511,1.9603457691681248,1.9200832597037552,2.0014525491401276,0.0,0.0,0.10219659823020688,0.7193771152064354
WATCHER,Master of Strategy+1,923,1.8383977203751667,1.366593256308531,2.4730885819017865,5.7218218997617106e-05,0.00021910631792018548,0.12922806114753582,0.7313895425586868
WATCHER,Scrawl+1,17142,1.8172491745874524,1.7001004318734634,1.942470280358455,4.261558065218672e-69,3.816500186633335e-68,0.08944795496747471,0.7175619923612967
WATCHER,Vault+1,17086,1.7395967422834497,1.624237645442041,1.8631490498052106,2.453185232265834e-56,1.9812816003136064e-55,0.08998358706256593,0.7002015193440146
WATCHER,Acrobatics,1082,1.6872497665620432,1.2028935173966853,2.3666365589239926,0.002445633612791719,0.007596856299315255,0.2152649693841292,0.8027025918635171
WATCHER,Master of Strategy,9535,1.680173817407164,1.488588435480854,1.8964167592694368,4.451979114995462e-17,2.435429954286926e-16,0.36047476427093206,0.8765174573620126
WATCHER,Finesse+1,1636,1.485630292241187,1.2019458982027227,1.8362701420462615,0.00025088855103118986,0.0009001994698550447,0.12166943187407475,0.7259831152120014
WATCHER,Deep Breath+1,1484,1.382270446401283,1.0888729500572412,1.75472408134848,0.007827690002184213,0.021704493751374704,0.12707338631854603,0.7346892803162423
WATCHER,Omniscience,231308,1.3475696759463314,1.3163036116759952,1.3795784007748286,6.482117079769216e-137,8.997988771354643e-136,0.0954446948895612,0.7085808240851711
WATCHER,Purity,12175,1.3251027867335756,1.1786906370510237,1.4897016572577373,2.452783350373282e-06,1.0317484509808824e-05,0.309476896836931,0.8533392254972593
WATCHER,Fasting2+1,63768,1.291441333091873,1.2365398228630773,1.3487804322843817,8.384463877172756e-31,5.290310872500196e-30,0.19209656498764072,0.7880576372619363
WATCHER,Thinking Ahead,9501,1.2891405911642928,1.1325278436907489,1.4674106893227261,0.00012144728002125262,0.00045257451162282225,0.3961205153919919,0.8970133706727617
WATCHER,Secret Technique,9504,1.2869734324898274,1.1386845028206574,1.4545737751166317,5.361819495613382e-05,0.00020603116089545537,0.37901826059945243,0.8885157511329547
WATCHER,Fasting2,310678,1.2850987677887522,1.2497198154715252,1.3214792808170834,2.0327719495095757e-69,1.8503223360085111e-68,0.10346562139583171,0.717762313144069
WATCHER,WheelKick,308379,1.2488491878178487,1.2199056721064756,1.278479418183387,5.186020879748393e-77,4.8805730397971104e-76,0.147407668217014,0.7578334531779215
WATCHER,Flash of Steel,10637,1.2443981823745343,1.1337260033593677,1.3658739692911441,4.204328464833997e-06,1.7421293881336395e-05,0.22426345340527476,0.799436035699099
WATCHER,Omniscience+1,16295,1.2416307497533674,1.1582145799383847,1.3310546641669132,1.064888919906481e-09,4.896725240398125e-09,0.07564540191186842,0.6846233744742692
WATCHER,InnerPeace+1,65132,1.239954588335351,1.1926289990072254,1.2891581392149054,2.417490001988435e-27,1.4873255663203085e-26,0.1857142369572583,0.7840710913891735
WATCHER,Finesse,12612,1.212456559455901,1.1031294967997547,1.3326186207805586,6.450055669085042e-05,0.00024530091851092254,0.3088721237369645,0.8505794343147144
WATCHER,EmptyMind+1,65213,1.2106914307719387,1.1629237330748117,1.2604212115174966,1.2900786677763701e-20,7.365719077458401e-20,0.18396776294813366,0.7824432709611475
WATCHER,TalkToTheHand,310154,1.191920958082664,1.1677130959235942,1.216630673472941,4.0475567448017907e-63,3.511571691486241e-62,0.10128839067164963,0.7141994116669006
WATCHER,Sanctity+1,64929,1.1845867209419572,1.1392682083551597,1.23170794123886,1.7204032681178155e-17,9.457959550717e-17,0.17852112434155243,0.7784640731483397
